latitude,longitude,population
34.555417,-82.660694,0.242734
34.560139,-82.667639,0.242734
34.916250,-81.012639,0.579960
34.916806,-81.013194,0.579960
34.917083,-81.012917,0.579960
34.916806,-81.011250,0.579960
34.916528,-81.010694,0.579960
34.916250,-81.010972,0.579960
34.915972,-81.010694,0.579960
34.916528,-81.011250,0.579960
34.916806,-81.012083,0.579960
34.916806,-81.010972,0.579960
34.917083,-81.012083,0.579960
34.916528,-81.010972,0.579960
34.916528,-81.011806,0.579960
34.916806,-81.012361,0.579960
34.916528,-81.013194,0.579960
34.916528,-81.013472,0.579960
34.014306,-84.040972,0.699003
34.017639,-84.033472,0.699003
